model,score,BCa 95% CI,dataset
WRD,69.05,"[65.99, 71.79]",stsb:test
COS,64.67,"[61.65, 67.48]",stsb:test
ROTS+,64.67,"[61.65, 67.46]",stsb:test
ROTS+,65.39,"[62.39, 68.02]",stsb:test
ROTS+,66.32,"[63.51, 68.98]",stsb:test
ROTS+,66.46,"[63.59, 69.17]",stsb:test
ROTS+,67.90,"[65.24, 70.38]",stsb:test
ROTS+ean,66.75,"[63.97, 69.35]",stsb:test
ROTS+ax,67.68,"[65.01, 70.09]",stsb:test
ROTS+in,64.74,"[61.59, 67.57]",stsb:test
ROTS+ast,67.36,"[64.63, 69.84]",stsb:test
WRD,48.69,"[43.60, 53.49]",twitter:test
COS,37.56,"[32.30, 42.53]",twitter:test
ROTS+,37.56,"[32.23, 42.61]",twitter:test
ROTS+,38.24,"[33.05, 43.22]",twitter:test
ROTS+,39.12,"[33.70, 44.14]",twitter:test
ROTS+,40.58,"[35.47, 45.37]",twitter:test
ROTS+,41.77,"[36.62, 46.55]",twitter:test
ROTS+ean,39.63,"[34.30, 44.41]",twitter:test
ROTS+ax,41.77,"[36.67, 46.65]",twitter:test
ROTS+in,37.47,"[32.12, 42.42]",twitter:test
ROTS+ast,41.31,"[36.23, 46.06]",twitter:test
WRD,68.01,"[66.36, 69.60]",sick:r
COS,71.36,"[69.72, 72.89]",sick:r
ROTS+,71.36,"[69.72, 72.91]",sick:r
ROTS+,72.12,"[70.52, 73.60]",sick:r
ROTS+,72.47,"[70.85, 73.99]",sick:r
ROTS+,72.58,"[71.00, 74.06]",sick:r
ROTS+,72.52,"[70.93, 74.01]",sick:r
ROTS+ean,72.36,"[70.80, 73.91]",sick:r
ROTS+ax,72.52,"[70.93, 74.02]",sick:r
ROTS+in,71.37,"[69.71, 72.91]",sick:r
ROTS+ast,72.23,"[70.66, 73.70]",sick:r
